STATE,Latitude,Longitude,Inhabited_villages,Uninhabited_villages,Towns,Households,Total_Population,Males_Population,Females_Population,Area,Density,WIND_SPEED,YEAR,ECONOMIC_LOSS,CASUALITIES,GDP_VALUE
GUJARAT,23.22,72.68,17843,382,348,12248428,60439692,31491260,28948432,196244,308,185,2019,1400000,304,197447
KARNATAKA,12.57038129,76.91999711,27397,1943,347,13357027,61095297,30966657,30128640,191791,319,240,2019,7000000,800,210887
MAHARASHTRA,19.25023195,73.16017493,40959,2706,534,24421519,112374333,58243056,54131277,307713,365,140,2019,350000,345,191736
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028,195,2019,1570000,41,109491
KERALA,8.900372741,76.56999263,1017,1,520,7853754,33406061,16027412,17378649,38852,860,85,2020,81000,11,194322
MAHARASHTRA,19.25023195,73.16017493,40959,2706,534,24421519,112374333,58243056,54131277,307713,365,110,2020,203000,200,183704
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,260,2020,6700000,118,102166
TAMIL NADU,12.92038576,79.15004187,15049,930,1097,18524982,72147030,36137975,36009055,130060,555,130,2020,400000,209,212174
BIHAR,25.78541445,87.4799727,39073,5801,199,18913565,104099452,54278157,49821295,94163,1106,140,2021,299000,210,49470
GOA,15.491997,73.81800065,320,14,70,343611,1458545,739140,719405,3702,394,220,2021,5700000,398,472070
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028,110,2021,109600,34,124798
ANDAMAN AND NICOBAR ISLANDS,11.66702557,92.73598262,396,159,5,94551,380581,202871,177710,8249,46,120,2022,507000,703,229079
MEGHALAYA,25.57049217,91.8800142,6459,380,22,548059,2966889,1491832,1475057,22429,132,85,2022,104400,68,98572
TAMIL NADU,12.92038576,79.15004187,15049,930,1097,18524982,72147030,36137975,36009055,130060,555,100,2022,35400,140,273288
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308,100,2023,176000,60,219518
MAHARASHTRA,19.25023195,73.16017493,40959,2706,534,24421519,112374333,58243056,54131277,307713,365,165,2023,524000,41,242247
MIZORAM,23.71039899,92.72001461,704,126,23,222853,1097206,555339,541867,21081,52,280,2023,9700000,250,198000
TAMIL NADU,12.92038576,79.15004187,15049,930,1097,18524982,72147030,36137975,36009055,130060,555,120,2023,367000,17,273288
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028,75,2023,50000,77,157254
